题号,统计类型,项目,统计指标,统计值,频数,有效样本量
Q6,排序题加权得分,市场调研报告(针对特定市场/行业的系统调研),加权得分,162.0,,160
Q6,排序题加权得分,项目实施总结(完整参与项目并形成复盘报告),加权得分,104.0,,160
Q6,排序题加权得分,商业方案设计(跨境电商方案、国际市场进入方案等),加权得分,100.0,,160
Q6,排序题加权得分,政策研究报告(针对国际贸易政策的应用研究),加权得分,40.0,,160
Q6,排序题加权得分,产品/服务创新方案(新产品开发、服务模式设计等),加权得分,38.0,,160
Q6,排序题加权得分,投资项目可行性研究报告（从风险到回报的全面分析决策）,加权得分,37.0,,160
Q6,排序题加权得分,数字化解决方案(基于数据分析的商业智能报告),加权得分,37.0,,160
Q9,李克特均值,"问题导向性:针对真实商业问题,问题界定清晰",均值,4.28125,,160
Q9,李克特分布,"问题导向性:针对真实商业问题,问题界定清晰 | 2分",频率,0.04375,7,160
Q9,李克特分布,"问题导向性:针对真实商业问题,问题界定清晰 | 3分",频率,0.10625,17,160
Q9,李克特分布,"问题导向性:针对真实商业问题,问题界定清晰 | 4分",频率,0.375,60,160
Q9,李克特分布,"问题导向性:针对真实商业问题,问题界定清晰 | 5分",频率,0.475,76,160
Q9,李克特均值,数据支撑度:基于充分的一手或二手数据分析,均值,4.1125,,160
Q9,李克特分布,数据支撑度:基于充分的一手或二手数据分析 | 2分,频率,0.05625,9,160
Q9,李克特分布,数据支撑度:基于充分的一手或二手数据分析 | 3分,频率,0.19375,31,160
Q9,李克特分布,数据支撑度:基于充分的一手或二手数据分析 | 4分,频率,0.33125,53,160
Q9,李克特分布,数据支撑度:基于充分的一手或二手数据分析 | 5分,频率,0.41875,67,160
Q9,李克特均值,理论应用性:恰当运用国际商务相关理论,均值,3.81875,,160
Q9,李克特分布,理论应用性:恰当运用国际商务相关理论 | 1分,频率,0.025,4,160
Q9,李克特分布,理论应用性:恰当运用国际商务相关理论 | 2分,频率,0.09375,15,160
Q9,李克特分布,理论应用性:恰当运用国际商务相关理论 | 3分,频率,0.225,36,160
Q9,李克特分布,理论应用性:恰当运用国际商务相关理论 | 4分,频率,0.35,56,160
Q9,李克特分布,理论应用性:恰当运用国际商务相关理论 | 5分,频率,0.30625,49,160
Q9,李克特均值,创新性:在分析视角或解决方案上有创新,均值,3.7375,,160
Q9,李克特分布,创新性:在分析视角或解决方案上有创新 | 1分,频率,0.0125,2,160
Q9,李克特分布,创新性:在分析视角或解决方案上有创新 | 2分,频率,0.0875,14,160
Q9,李克特分布,创新性:在分析视角或解决方案上有创新 | 3分,频率,0.35,56,160
Q9,李克特分布,创新性:在分析视角或解决方案上有创新 | 4分,频率,0.25,40,160
Q9,李克特分布,创新性:在分析视角或解决方案上有创新 | 5分,频率,0.3,48,160
Q9,李克特均值,实践价值:对企业决策或行业发展有参考价值,均值,4.04375,,160
Q9,李克特分布,实践价值:对企业决策或行业发展有参考价值 | 1分,频率,0.00625,1,160
Q9,李克特分布,实践价值:对企业决策或行业发展有参考价值 | 2分,频率,0.04375,7,160
Q9,李克特分布,实践价值:对企业决策或行业发展有参考价值 | 3分,频率,0.21875,35,160
Q9,李克特分布,实践价值:对企业决策或行业发展有参考价值 | 4分,频率,0.3625,58,160
Q9,李克特分布,实践价值:对企业决策或行业发展有参考价值 | 5分,频率,0.36875,59,160
Q9,李克特均值,工作量:体现足够的研究和实践工作投入,均值,3.9375,,160
Q9,李克特分布,工作量:体现足够的研究和实践工作投入 | 1分,频率,0.0125,2,160
Q9,李克特分布,工作量:体现足够的研究和实践工作投入 | 2分,频率,0.04375,7,160
Q9,李克特分布,工作量:体现足够的研究和实践工作投入 | 3分,频率,0.275,44,160
Q9,李克特分布,工作量:体现足够的研究和实践工作投入 | 4分,频率,0.33125,53,160
Q9,李克特分布,工作量:体现足够的研究和实践工作投入 | 5分,频率,0.3375,54,160
Q9,李克特均值,规范性:格式、逻辑、语言表达符合专业规范,均值,4.13125,,160
Q9,李克特分布,规范性:格式、逻辑、语言表达符合专业规范 | 1分,频率,0.0125,2,160
Q9,李克特分布,规范性:格式、逻辑、语言表达符合专业规范 | 2分,频率,0.03125,5,160
Q9,李克特分布,规范性:格式、逻辑、语言表达符合专业规范 | 3分,频率,0.2125,34,160
Q9,李克特分布,规范性:格式、逻辑、语言表达符合专业规范 | 4分,频率,0.3,48,160
Q9,李克特分布,规范性:格式、逻辑、语言表达符合专业规范 | 5分,频率,0.44375,71,160
Q9,李克特均值,"真实性:基于真实企业/项目,非虚构或纸上谈兵",均值,4.1875,,160
Q9,李克特分布,"真实性:基于真实企业/项目,非虚构或纸上谈兵 | 1分",频率,0.00625,1,160
Q9,李克特分布,"真实性:基于真实企业/项目,非虚构或纸上谈兵 | 2分",频率,0.03125,5,160
Q9,李克特分布,"真实性:基于真实企业/项目,非虚构或纸上谈兵 | 3分",频率,0.20625,33,160
Q9,李克特分布,"真实性:基于真实企业/项目,非虚构或纸上谈兵 | 4分",频率,0.28125,45,160
Q9,李克特分布,"真实性:基于真实企业/项目,非虚构或纸上谈兵 | 5分",频率,0.475,76,160
Q9,李克特均值,可操作性:提出的方案具备实际可行性,均值,4.14375,,160
Q9,李克特分布,可操作性:提出的方案具备实际可行性 | 1分,频率,0.00625,1,160
Q9,李克特分布,可操作性:提出的方案具备实际可行性 | 2分,频率,0.0375,6,160
Q9,李克特分布,可操作性:提出的方案具备实际可行性 | 3分,频率,0.20625,33,160
Q9,李克特分布,可操作性:提出的方案具备实际可行性 | 4分,频率,0.30625,49,160
Q9,李克特分布,可操作性:提出的方案具备实际可行性 | 5分,频率,0.44375,71,160
Q9,李克特均值,团队协作能力:体现跨部门/跨文化协作能力,均值,3.83125,,160
Q9,李克特分布,团队协作能力:体现跨部门/跨文化协作能力 | 1分,频率,0.01875,3,160
Q9,李克特分布,团队协作能力:体现跨部门/跨文化协作能力 | 2分,频率,0.0875,14,160
Q9,李克特分布,团队协作能力:体现跨部门/跨文化协作能力 | 3分,频率,0.25,40,160
Q9,李克特分布,团队协作能力:体现跨部门/跨文化协作能力 | 4分,频率,0.33125,53,160
Q9,李克特分布,团队协作能力:体现跨部门/跨文化协作能力 | 5分,频率,0.3125,50,160
Q10,权重均值,校内学术导师,平均权重,26.01875,,160
Q10,权重均值,校外企业导师,平均权重,21.0125,,160
Q10,权重均值,学院专家评审组,平均权重,17.33125,,160
Q10,权重均值,企业客户/受益方,平均权重,19.9625,,160
Q10,权重均值,学生自评,平均权重,15.675,,160
